,Months,State/UnionTerritory,Confirmed
524,2021-05,Telangana,15661753
525,2021-05,Telengana,443360
526,2021-05,Tripura,1297330
527,2021-05,Uttar Pradesh,48198544
528,2021-05,Uttarakhand,8377616
529,2021-05,West Bengal,34376609
530,2021-06,Andaman and Nicobar Islands,56579
531,2021-06,Andhra Pradesh,13853109
532,2021-06,Arunachal Pradesh,228245
533,2021-06,Assam,3406910
534,2021-06,Bihar,5684371
535,2021-06,Chandigarh,483325
536,2021-06,Chhattisgarh,7816944
537,2021-06,Dadra and Nagar Haveli,20722
538,2021-06,Dadra and Nagar Haveli and Daman and Diu,62117
539,2021-06,Delhi,11424499
540,2021-06,Goa,1263974
541,2021-06,Gujarat,6508254
542,2021-06,Haryana,6081334
543,2021-06,Himachal Pradesh,1546380
544,2021-06,Jammu and Kashmir,2371391
545,2021-06,Jharkhand,2719129
546,2021-06,Karnataka,21267566
547,2021-06,Kerala,20718740
548,2021-06,Ladakh,151885
549,2021-06,Lakshadweep,67804
550,2021-06,Madhya Pradesh,6265349
551,2021-06,Maharashtra,46374074
552,2021-06,Manipur,426632
553,2021-06,Meghalaya,299246
554,2021-06,Mizoram,105498
555,2021-06,Nagaland,178620
556,2021-06,Odisha,6348933
557,2021-06,Puducherry,858203
558,2021-06,Punjab,4597952
559,2021-06,Rajasthan,7549911
560,2021-06,Sikkim,130554
561,2021-06,Tamil Nadu,17446770
562,2021-06,Telangana,4689583
563,2021-06,Tripura,433065
564,2021-06,Uttar Pradesh,13564550
565,2021-06,Uttarakhand,2658494
566,2021-06,West Bengal,11249166
